河南频道,#genre#
河南公共,http://106.46.36.33:808/hls/38/index.m3u8
河南公共,http://123.14.87.87:8888/rtp/225.1.4.58:1087
河南公共,http://123.14.89.200:8888/rtp/225.1.4.58:1087
河南公共,http://182.122.74.71:8089/hls/24/index.m3u8
河南卫视,http://106.46.36.33:808/hls/31/index.m3u8
河南卫视,http://123.14.87.87:8888/hls/17/index.m3u8
河南卫视,http://123.14.89.200:8888/hls/17/index.m3u8
河南卫视,http://182.122.74.71:8089/hls/17/index.m3u8
河南国际,http://106.46.36.33:808/hls/40/index.m3u8
河南国际,http://123.14.87.87:8888/rtp/225.1.4.102:1131
河南国际,http://123.14.89.200:8888/rtp/225.1.4.102:1131
河南新农村,http://106.46.36.33:808/hls/39/index.m3u8
河南新农村,http://123.14.87.87:8888/rtp/225.1.4.120:1149
河南新农村,http://123.14.89.200:8888/rtp/225.1.4.120:1149
河南新闻,http://123.14.87.87:8888/rtp/225.1.4.56:1085
河南新闻,http://123.14.89.200:8888/rtp/225.1.4.56:1085
河南新闻,http://182.122.74.71:8089/hls/22/index.m3u8
河南民生,http://106.46.36.33:808/hls/33/index.m3u8
河南民生,http://123.14.87.87:8888/rtp/225.1.4.53:1082
河南民生,http://123.14.89.200:8888/rtp/225.1.4.53:1082
河南民生,http://182.122.74.71:8089/hls/19/index.m3u8
河南法制,http://106.46.36.33:808/hls/34/index.m3u8
河南法制,http://123.14.87.87:8888/rtp/225.1.4.54:1083
河南法制,http://123.14.89.200:8888/rtp/225.1.4.54:1083
河南法治,http://182.122.74.71:8089/hls/20/index.m3u8
河南电视剧,http://106.46.36.33:808/hls/35/index.m3u8
河南电视剧,http://123.14.87.87:8888/rtp/225.1.4.55:1084
河南电视剧,http://123.14.89.200:8888/rtp/225.1.4.55:1084
河南电视剧,http://182.122.74.71:8089/hls/21/index.m3u8
河南都市,http://106.46.36.33:808/hls/32/index.m3u8
河南都市,http://123.14.87.87:8888/rtp/225.1.4.52:1081
河南都市,http://123.14.89.200:8888/rtp/225.1.4.52:1081
河南都市,http://182.122.74.71:8089/hls/18/index.m3u8
郑州商都,http://123.14.87.87:8888/rtp/225.1.4.141:1177
郑州商都,http://123.14.89.200:8888/rtp/225.1.4.141:1177
郑州文体,http://123.14.87.87:8888/rtp/225.1.4.142:1178
郑州文体,http://123.14.89.200:8888/rtp/225.1.4.142:1178
郑州时政,http://123.14.87.87:8888/rtp/225.1.4.140:1176
郑州时政,http://123.14.89.200:8888/rtp/225.1.4.140:1176
央视频道,#genre#
CCTV1,http://106.46.36.33:808/hls/1/index.m3u8
CCTV1,http://123.14.87.87:8888/hls/1/index.m3u8
CCTV1,http://123.14.89.200:8888/hls/1/index.m3u8
CCTV1,http://182.122.74.71:8089/hls/1/index.m3u8
CCTV10,http://106.46.36.33:808/hls/10/index.m3u8
CCTV10,http://123.14.87.87:8888/hls/10/index.m3u8
CCTV10,http://123.14.89.200:8888/hls/10/index.m3u8
CCTV10,http://182.122.74.71:8089/hls/10/index.m3u8
CCTV11,http://106.46.36.33:808/hls/11/index.m3u8
CCTV11,http://123.14.87.87:8888/hls/11/index.m3u8
CCTV11,http://123.14.89.200:8888/hls/11/index.m3u8
CCTV11,http://182.122.74.71:8089/hls/11/index.m3u8
CCTV12,http://106.46.36.33:808/hls/12/index.m3u8
CCTV12,http://123.14.87.87:8888/hls/12/index.m3u8
CCTV12,http://123.14.89.200:8888/hls/12/index.m3u8
CCTV12,http://182.122.74.71:8089/hls/12/index.m3u8
CCTV13,http://106.46.36.33:808/hls/13/index.m3u8
CCTV13,http://123.14.87.87:8888/hls/13/index.m3u8
CCTV13,http://123.14.89.200:8888/hls/13/index.m3u8
CCTV13,http://182.122.74.71:8089/hls/13/index.m3u8
CCTV14,http://106.46.36.33:808/hls/14/index.m3u8
CCTV14,http://123.14.87.87:8888/hls/14/index.m3u8
CCTV14,http://123.14.89.200:8888/hls/14/index.m3u8
CCTV14,http://182.122.74.71:8089/hls/14/index.m3u8
CCTV15,http://106.46.36.33:808/hls/15/index.m3u8
CCTV15,http://123.14.87.87:8888/hls/15/index.m3u8
CCTV15,http://123.14.89.200:8888/hls/15/index.m3u8
CCTV15,http://182.122.74.71:8089/hls/15/index.m3u8
CCTV16,http://106.46.36.33:808/hls/160/index.m3u8
CCTV17,http://106.46.36.33:808/hls/17/index.m3u8
CCTV2,http://106.46.36.33:808/hls/2/index.m3u8
CCTV2,http://123.14.87.87:8888/hls/2/index.m3u8
CCTV2,http://123.14.89.200:8888/hls/2/index.m3u8
